Part,PartDesc,Price,Status
SLE64850,"ASSEMBLY, TRANSFER UNIT RSA 19"" RM",$5384,OUT OF STOCK
SLE65180,"ASSEMBLY,  EMI FLTR MDL SA25-100U SYS SINGLE",$739,OUT OF STOCK
SLE65300,"ASSEMBLY,  DRAWER SA100 AC-DC PANEL MOUNT",$3781,OUT OF STOCK
SLE65460,"ASSEMBLY,   TRANSFORMER VSWR SENSING PCH",$28,OUT OF STOCK
SLE65630,"ASSEMBLY,  COIL SPA FLTR 500-1250 KHZ 16T",$28,OUT OF STOCK
SLE65640,"ASSEMBLY,  COIL SPA FLTR 500-1250 KHZ 23T",$32,OUT OF STOCK
SLE65650,"ASSEMBLY,  COIL SPA FLTR 500-1250 KHZ 23T",$32,OUT OF STOCK
SLE65660,"ASSEMBLY,  COIL SPA FLTR 500-1250 KHZ 16T",$30,OUT OF STOCK
SLE65720,"ASSEMBLY,  TRANSFER SC500-1000 19""",$2020,OUT OF STOCK
SLE65930,"ASSEMBLY, EMI FILTER MODULE SA25-100 DUAL",$2113,OUT OF STOCK
SLE66280,"ASSEMBLY, COIL SC SERIES FILTER",$21,OUT OF STOCK
SLE66290,"ASSEMBLY,  COIL FILTER SC SERIES",$60,OUT OF STOCK
SLE66370,"ASSEMBLY, XFMR IMPD SPA SC SER 10PRIMARY, 18 SECONDARY",$64,OUT OF STOCK
SLE66570,"ASSEMBLY,  TRANSFORMER IMPDC SC SER 15 PRI 11 SEC",$200,OUT OF STOCK
SLE67110,"ASSEMBLY,  TRANSORB SSC",$65,OUT OF STOCK
SLE67390,"ASSEMBLY,  BLKG DIODES SC USCG SER",$21,OUT OF STOCK
SLE67410,"ASSEMBLY, GROUND STRAP 9.75""",$24,OUT OF STOCK
SLE68590,MRL-7 FREQ RNG UNKWN,$100,OUT OF STOCK
SLE68600,"ASSEMBLY,  MRL-7 FREQ RNG 184-237",$200,OUT OF STOCK
SLE68610,"ASSEMBLY,  MRL-7 FREQ RNG 215-305",$200,OUT OF STOCK
SLE68620,"ASSEMBLY,  MRL-7 FREQ RNG 297-470 :",$200,OUT OF STOCK
SLE68630,"ASSEMBLY,  MRL-7 FREQ RNG 412-680",$200,OUT OF STOCK
SLE68640,"ASSEMBLY,  MRL-7 FREQ RNG 450-750",$200,OUT OF STOCK
SLE68650,"ASSEMBLY,  MRL-7 FREQ RNG 700-1250",$200,OUT OF STOCK
SLE82021,"ASSEMBLY,  TRANSFORMER 1:1",$6585,OUT OF STOCK
SLF10001,ANTENNA; GUYED MAST (120 FT/36.58M),$17895,OUT OF STOCK
SLF10002,ANTENNA; GUYED MAST (50FT/15.24M) WITH COUNTERPOISE,$6525,OUT OF STOCK
SLF10002/01,ANTENNA; GUYED MAST (50FT/15.24M) WITH COUNTERPOISE & FAA MK,$10061,OUT OF STOCK
SLF10005,ANTENNA; MAST (90FT/27.43M),$25510,OUT OF STOCK
SLF10005/01,ANTENNA; MAST (90FT/27.43M) WITH FAA MARKING,$13466,OUT OF STOCK
SLF10006,"ANTENNA; MAST (90FT/27.43M) HIGH WIND, 45G TOWER SECTIONS",$7550,OUT OF STOCK
SLF10010,"OBSOLETE ANTENNA; SYMMETRICAL ""T"" OVERHEAD",$1152,OUT OF STOCK
SLF10011,ANTENNA; UNGUYED MAST (34FT/10.36M),$16621,OUT OF STOCK
SLF10014,ANTENNA; UNGUYED MAST (34FT/10.36M)  LAND,$22820,OUT OF STOCK
SLF10015,ANTENNA; UNGUYED MAST (34FT/10.36M) OFFSHORE,$19977,OUT OF STOCK
SLF10017,ANTENNA; DS410,$6955,OUT OF STOCK
SLF10020,"TOWERS; (60FT/18.29M) WITH GUYS AND HARDWARE, 2 EACH",$22335,OUT OF STOCK
SLF10022,"ANTENNA; HELIPAD, WITH HARDWARE KIT",$6616,OUT OF STOCK
SLF10023,ANTENNA; HELIPAD TO CAP437 WITH HARDWARE KIT,$8510,OUT OF STOCK
SLF10024,"ANTENNA; SYMMETRICAL ""T"" OVERHEAD 120",$695,OUT OF STOCK
SLF10026,"ANTENNA; SYMMETRICAL ""T"" OVERHEAD 350",$1312,OUT OF STOCK
SLF10027,"OBSOLETE ANTENNA; SYMMETRICAL ""T"" OVERHEAD AND COUNTERPOISE",$3875,OUT OF STOCK
SLF10031,TOWERS; (90FT/27.43M) WITH GUYS AND HARDWARE,$30226,OUT OF STOCK
SLF10040,TOWERS;  (200FT/61M) WITH GUYS AND HARDWARE,$21180,OUT OF STOCK
SLF10040/01,"TOWERS; (200FT/60.97M) WITH GUYS, HARDWARE & FAA MARKING",$25680,OUT OF STOCK
SLF10050,TOWERS; (120FT/36.58M)  WITH GUYS & HARDWARE,$24592,OUT OF STOCK
SLF10052,ANTENNA; MAST (145FT/44.20M),$23150,OUT OF STOCK
SLF10053,ANTENNA; MAST HIGH POWER (145 FT/ M),$16899,OUT OF STOCK
SLF10057,"ANTENNA; GUYED, (60FT/18.29M)",$20700,OUT OF STOCK
SLF10058,"ANTENNA; GUYED, MAST (60FT/18.29M)  20 METER FOOT PRINT",$9955,OUT OF STOCK
SLF10063,"ANTENNA; KILO SYMMETRICAL ""T"" OVERHEAD WITH COUNTERPOISE",$8670,OUT OF STOCK
SLF10064,"ANTENNA SIMULATOR, 500pF, 10 OHM, 250W",$4640,OUT OF STOCK
SLF10066,ANTENNA; MAST (145FT/44.20M)  90 MPH 1CM ICE 45G,$16899,OUT OF STOCK
SLF10067,TOWERS;  GUYED (30 FT/9.14M) 110 MPH,$9100,OUT OF STOCK
SLF10068,"ANTENNA; MARINE WHIP, 10M DECK MOUNT, 100PF, 300-1800KHz",$12920,OUT OF STOCK
SLF10074,"ANTENNA; MARINE NDB, 8M MAST MOUNT",$15223,OUT OF STOCK
SLF10075,"ANTENNA; WHIP, 10M 100PF 300-1800 KHz (LAND)",$16820,OUT OF STOCK
SLF10078,"ANTENNA; WHIP, 10M 100PF 300-1800 KHz (OFFSHORE)",$16880,OUT OF STOCK
SLF10080,ANTENNA; SELF SUPPORTING MAST (40FT) WITH COUNTERPOISE,$9890,OUT OF STOCK
SLF10081,"ANTENNA  ASSEMBLY; HARDWARE KIT, LONG WIRE",$4440,OUT OF STOCK
SLF10082,ANTENNA ; DIAMOND PORTABLE ANTENNA,$12750,OUT OF STOCK
SLF10084,"ASSEMBLY, 250W, 50 OHM, ARTIFICIAL LOAD",$4330,OUT OF STOCK
SLF10085,"TEST LOAD, 50 OHM EXTERNAL 1000W",$2641,OUT OF STOCK
SLF10090,"ANTENNA; WHIP, 8M 130PF 240-1800 KHz (LAND)",$15221,OUT OF STOCK
SLF10102,SITE TEST EQUIPMENT(LOW POWER 190-535KHZ STD),$16500,OUT OF STOCK
SLF10103,SITE TEST EQUIPMENT (LOW POWER 450-1800KHZ),$6090,OUT OF STOCK
SLF10104,SITE TEST EQUIPMENT (HIGH POWER 190-535KHZ),$7090,OUT OF STOCK
SLF20050/C3,"ANTENNA; COUPLER, PC1000C SERIES 3",$9220,OUT OF STOCK
SLF20050/C4,"ANTENNA; COUPLER, PC1000C SERIES 4",$11190,OUT OF STOCK
SLF20050/D4,"ANTENNA; COUPLER, PC1000D SERIES 4",$10241,OUT OF STOCK
SLF20051/H3,"ANTENNA, COUPLER, PC1000H SERIES 3",$6386,OUT OF STOCK
SLF20052/M3,"ANTENNA; COUPLER, PC1000M SERIES 3",$6386,OUT OF STOCK
SLF20070,ANTENNA; COUPLER PC.5KILO WITH CURRENT SENSE,$9293,OUT OF STOCK
SLF20100,ANTENNA; COUPLER PV1000,$13210,OUT OF STOCK
SLF30005,TRANSMITTER;  SA100 AC-DC SINGLE PANEL MOUNT,$10989,OUT OF STOCK
SLF30085,TRANSMITTER; 1000W DUAL DGPS,$24075,OUT OF STOCK
SLF30213,TRANSMITTER;  DS SERIES 25 WATT 410 KHZ AUTOSHUTDOWN,$33160,OUT OF STOCK
SLF30500,TRANSMITTER; SA25-100 SINGLE AC-DC/IP66,$13000,OUT OF STOCK
SLF30501,TRANSMITTER; SA25-100 SINGLE AC-DC EC/IP66,$16700,OUT OF STOCK
SLF30503,TRANSMITTER; SA25-100H SINGLE AC-DC EC/IP66,$16700,OUT OF STOCK
SLF30504,TRANSMITTER; SA25-100M SINGLE AC-DC/IP66,$16700,OUT OF STOCK
SLF30508,TRANSMITTER; SA25-100 DUAL AC-DC RMT/IP66,$24615,OUT OF STOCK
SLF30509,TRANSMITTER; SA25-100 DUAL AC-DC REMOTE EC/IP66,$27336,OUT OF STOCK
SLF30517,TRANSMITTER; SA25-100M DUAL AC-DC REMOTE EC/IP66,$25950,OUT OF STOCK
SLF30524,TRANSMITTER; SC200 AC/24VDC,$28040,OUT OF STOCK
SLF30525,TRANSMITTER; SA25-100 DUAL AC-DC,$25985,OUT OF STOCK
SLF30526,TRANSMITTER; SA25-100 DUAL AC-DC  EC/IP66,$31182,OUT OF STOCK
SLF30528,TRANSMITTER; SA25-100H DUAL AC-DC  EC/IP66,$25985,OUT OF STOCK
SLF30529,TRANSMITTER; SA25-100M DUAL AC-DC IP66,$22620,OUT OF STOCK
SLF30536,TRANSMITTER;  SA 25-100 AC-DC SINGLE UK EC IP66 CAP670,$10197,OUT OF STOCK
SLF30540,"TRANSMITTER, SA SINGLE TO DUAL UPGRADE (EC)",$20109,OUT OF STOCK
SLF30601,TRANSMITTER; SC1000A AC/DC DGPS W/ RSIM,$40168,OUT OF STOCK
SLF30602,"TRANSMITTER, SC500 AC/DC  DGPS W/ RSIM",$34550,OUT OF STOCK
SLF33010,"TRANSMITTER, SE125 DUAL RACK (190-535KHZ), CE & ETHERNET",$25100,OUT OF STOCK
SLF33011,"TRANSMITTER, SE125 DUAL RACK (500-1250KHZ), CE & ETHERNET",$26980,OUT OF STOCK
SLF33012,"TRANSMITTER, SE125 DUAL RACK (1500-1800KHZ), CE & ETHERNET",$26980,OUT OF STOCK
SLF33028,"TRANSMITTER, SE250 DUAL RACK (500-1250KHZ), CE & ETHERNET",$25520,OUT OF STOCK
SLF33029,"TRANSMITTER, SE250 DUAL RACK (1500-1800KHZ), CE & ETHERNET",$25520,OUT OF STOCK
SLF33030,"TRANSMITTER, SE250 DUAL RACK (190-535KHZ), CE & ETHERNET",$28960,OUT OF STOCK
SLF33044,"TRANSMITTER, SE125 UNIRACK",$29810,OUT OF STOCK
SLF33300,"TRANSMITTER, SE125 SINGLE IP (190-650KHZ), CE & ETHERNET",$16550,OUT OF STOCK
SLF33301,"TRANSMITTER, SE125 SINGLE IP (650-1250KHZ), CE & ETHERNET",$12800,OUT OF STOCK
SLF33302,"TRANSMITTER, SE125 SINGLE IP (1500-1800KHZ), CE&ETHERNET",$12800,OUT OF STOCK
SLF33306,"TRANSMITTER, SE125 SINGLE RACK MOUNT",$13270,OUT OF STOCK
SLF33400,"TRANSMITTER, SE125 DUAL IP (190-650KHZ), CE & ETHERNET",$25040,OUT OF STOCK
SLF33401,"TRANSMITTER, SE125 DUAL IP (650-1250KHZ), CE & ETHERNET",$24050,OUT OF STOCK
SLF33402,"TRANSMITTER, SE125 DUAL IP (1500-1800KHZ), CE &ETHERNET",$24050,OUT OF STOCK
SLF33550,"TRANSMITTER, SE125 IP SINGLE TO DUAL UPGRADE",$17500,OUT OF STOCK
SLF33601,"TRANSMITTER, SE125  WO ENCL (190-650KHZ) FOR USE IN SCHROFF)",$23525,OUT OF STOCK
SLF33800,"TRANSMITTER, TRANSPORTABLE SE",$37350,OUT OF STOCK
SLF34002,"TRANSMITTER, SE500 DUAL RACK (190-535KHZ), ETHERNET",$29950,OUT OF STOCK
SLF35002,"TRANSMITTER, SE1000  DUAL WITH ETHERNET",$45500,OUT OF STOCK
SLF40000,"MONITOR RECEIVER; MR-5, UNPROGRAMMED, TABLE TOP",$3875,OUT OF STOCK
SLF40004,"MONITOR RECEIVER; MR-5, UNPROGRAMMED, RACK MOUNT",$3875,OUT OF STOCK
SLF40008,ANTENNA MONITOR; LOOP WITH BRACKET,$1092,OUT OF STOCK
SLF50000,"SPARES, 2 YEAR, MR-5 SERIES",$461,OUT OF STOCK
SLF50002,"SPARES, 2 YEAR, PC .5 KILO, COUPLER",$585,OUT OF STOCK
SLF50003,"SPARES KIT, LEVEL 4 COMPREHENSIVE SA25-100  SINGLE",$9609,OUT OF STOCK
SLF50005,"SPARES KIT, LEVEL 4 COMPREHENSIVE SA25-100 DUAL",$10584,OUT OF STOCK
SLF50052,"SPARES, 2 YEAR SA25-100 DUAL REMOTE",$10829,OUT OF STOCK
SLF50202,"SPARES, PV1000, PV3000",$6587,OUT OF STOCK
SLF50230,"SPARES,  50FT (M) MAST ANTENNA",$3116,OUT OF STOCK
SLF50354,"SPARES, 2 YEAR SC200 DEPOT LEVEL",$11290,OUT OF STOCK
SLF50358,"OBSOLETE SPARES, 2 YEAR PC1000C/3 (SEE SLF50377)",$912,OUT OF STOCK
SLF50360,"SPARES, 2 YEAR PC1000H/2",$760,OUT OF STOCK
SLF50361,"SPARES, 2 YEAR PC1000M/2",$760,OUT OF STOCK
SLF50376,"SITE SPARES PC1000C/4 (D/4), PC3000",$2535,OUT OF STOCK
SLF50377,SITE SPARES PC1000C/3,$2535,OUT OF STOCK
SLF50601,"SPARES, 2 YEAR SC500/SC1000",$7300,OUT OF STOCK
SLF50900,SITE SPARES SE125 DUAL,$6781,OUT OF STOCK
SLF50901,SITE SPARES SE250,$7250,OUT OF STOCK
SLF50904,"SITE SPARES, SE125 SINGLE",$6721,OUT OF STOCK
SLF50910,SITE SPARES SE500,$8129,OUT OF STOCK
SLF50912,SITE SPARES SE125 DUAL WITH ANTENNA RELAY,$6781,OUT OF STOCK
SLF51001,"SPARES KIT, LEVEL 1 ESSENTIAL, SA25-100 SINGLE/DUAL",$3900,OUT OF STOCK
SLF51002,"SPARES KIT, LEVEL 2 INTERMEDIATE, SA25-100 DUAL",$6948,OUT OF STOCK
SLF51003,"SPARES KIT, LEVEL 3 CIRCUIT BOARDS, SA25-100 DUAL",$7938,OUT OF STOCK
SLF51004,"SPARES KIT, LEVEL 3 CIRCUIT BOARDS, SA25-100 SINGLE",$8938,OUT OF STOCK
SLF51009,"SITE SPARES, SA SINGLE MEDIUM BAND",$6750,OUT OF STOCK
SLF51010,"SITE SPARES, SA SINGLE HIGH BAND",$6750,OUT OF STOCK
SLF51011,"SITE SPARES, SA DUAL NON REMOTE MEDIUM BAND",$8475,OUT OF STOCK
SLF51012,"SITE SPARES, SA DUAL NON REMOTE HIGH BAND",$8475,OUT OF STOCK
SLF51013,"SITE SPARES, SA DUAL REMOTE MEDIUM BAND",$9050,OUT OF STOCK
SLF51014,"SITE SPARES, SA DUAL REMOTE HIGH BAND",$9050,OUT OF STOCK
SLF53301,INSTALLATION & COMMISSIONING SPARES SE125 SINGLE/DUAL,$4549,OUT OF STOCK
SLF53302,CONSUMABLE SPARES SE125 SINGLE/DUAL/RACK MOUNT,$150,OUT OF STOCK
SLF53306,SITE SPARES SE250,$4307,OUT OF STOCK
SLF53310,SITE SPARES SE125 RACK MOUNT,$6721,OUT OF STOCK
SLF53347,"SITE SPARES, SE RCU",$1266,OUT OF STOCK
SLF53403,SITE SPARES SE1000,$8450,OUT OF STOCK
SLF53404,INSTALLATION & COMMISSIONING SPARES SE500,$7626,OUT OF STOCK
SLF53471,"SPARES, 5 YEAR, REMOTE CONTROL UNIT",$1161,OUT OF STOCK
SLF70000,BATTERY POWER SUPPLY SCARAB 12V,$2990,OUT OF STOCK
SLF70002,POWER SUPPLY 115/230VAC SCARAB,$1599,OUT OF STOCK
SLF70010,SE125 IP SINGLE/DUAL FIELD REPAIR KIT,$8795,OUT OF STOCK
SLF80113,SA TIMER / STATUS INDICATOR PANEL,$1835,OUT OF STOCK
SLF80114,"SA TIMER / STATUS INDICATOR PANEL, WITH EC BOX",$3835,OUT OF STOCK
SLF80115,DS410 TIMER / STATUS INDICATOR PANEL,$2395,OUT OF STOCK
SLF80119,RF/AC/DC POWER TRANSFER BOARD (SRP0500X),$1688,OUT OF STOCK
SLF80602,TILTING MECHANISM FOR 33ft WHIP ANTENNA,$3865,OUT OF STOCK
SLF80801,SA PANEL MOUNT TIMER / STATUS INDICATOR PANEL,$1120,OUT OF STOCK
SLF80803,"ATU POWER SUPPLY, 12VDC, 85-264VAC 47-63HZ,",$305,OUT OF STOCK
SLF81003,SD MODEM INSTALLATION KIT SINGLE & DUAL,$1025,OUT OF STOCK
SLF81012, ROHS BATTERY CHARGER OPTION,$1575,OUT OF STOCK
SLF81013,ETHERNET SERIAL SERVER KIT SINGLE & DUAL,$1045,OUT OF STOCK
SLF81014,"MULTI-MODE FBR, ST FEM, 2KM RNG, RS232/422/485 CONV",$3083,OUT OF STOCK
SLF82000, SA-100 DUAL EC/IP UPGRADE,$1495,OUT OF STOCK
SLF82020,TRANSIENT AND SURGE PROTECTION PANEL 250 THRU 1K,$2920,OUT OF STOCK
SLF82022,TRANSIENT AND SURGE PROTECTION ENCLOSURE 250 THRU 1K,$5125,OUT OF STOCK
SLF82027,TRANSIENT AND SURGE PROTECTION ENCLOSURE 125W,$3698,OUT OF STOCK
SLF82035,"ASSEMBLY, SNMP & MODBUS TCP/IP (RCU SINGLE)",$1790,OUT OF STOCK
SLF82036,"ASSEMBLY, SNMP & MODBUS TCP/IP (RCU DUAL)",$1790,OUT OF STOCK
SLF83301, SE SERIES LEASED LINE MODEM SE SERIES,$6378,OUT OF STOCK
SLF83303,"SE, E-NET, TO SC MM FIBER OPTICS CONVERTER, 2 KM",$2688,OUT OF STOCK
SLF83304," RADIO LINK, E-NET to 5.8GHz, 4.5km",$10932,OUT OF STOCK
SLF83308,"SE, E-NET TO SC SM FIBER OPTIC, CONVERTER, 20KM",$4365,OUT OF STOCK
SLF83314,SE SERIES ETHERNET TO LAND LINE DIALUP,$2290,OUT OF STOCK
SLF83315,ETHERNET EXTENDER MODEM,$2150,OUT OF STOCK
SLF83319,SE RCU SERIAL TO MULTIMODE ST TERMINATED FIBER,$2895,OUT OF STOCK
SLF83320,"BATTERY CHARGER, INTERNAL, SE125IP",$1512,OUT OF STOCK
SLF83322,RS485/RS232 TO ETHERNET SERIAL FOR SE RCU,$5495,OUT OF STOCK
SLF83323,SE TRANSMITTER AND RCU OVER E-NET RADIO LINK,$12113,OUT OF STOCK
SLF83325,SE RCU SERIAL TO SINGLE MODE SC TERMINATED FIBER,$4818,OUT OF STOCK
SLF83330,SOLAR SHIELD SE125 IP/PC1000,$1650,5 In Stock
SLF83350,INTERNAL 50 OHM LOAD SE125 SERIES IP,$598,OUT OF STOCK
SLF83354,"BATTERIES, QTY 4 12VDC 100A/H (SE250)",$2100,OUT OF STOCK
SLF83355,"BATTERIES, QTY 4 12VDC 33A/H (SE125)",$1150,OUT OF STOCK
SLF83357,SE TIMER/STATUS INDICATOR PANEL/DUAL RACK MOUNT,$1435,OUT OF STOCK
SLF83358,THRU-LINE WATTMETER WITH ELEMENT ( 200KHZ to 535KHZ),$6515,OUT OF STOCK
SLF83359,THURLINE WATTMETER WITH ELEMENT ( 450KHZ to 2.5MHZ),$2195,OUT OF STOCK
SLF83360,SE SYSTEM REMOTE CONTROL OVER ETHERNET EXTENDER MODE,$5025,OUT OF STOCK
SLF83361, SE SYSTEM RCU OVER ETHERNET TO LEASED LINE MODEM,$8830,OUT OF STOCK
SLF83362,SE RCU SERIAL TO SINGLE MODE ST TERMINATED FIBER,$3950,OUT OF STOCK
SLF83367,"TIMER STATUS, OPTION SE SINGLE",$1030,OUT OF STOCK
SLF83370,EXTERNAL ARTIFICAL LOAD  SE125 SERIES,$598,OUT OF STOCK
SLF83377,"TIMER STATUS, OPTION SE125 IP DUAL",$1445,OUT OF STOCK
SLF83378,INTERNAL 50 OHM LOAD SE125/250 RACK MOUNT,$598,OUT OF STOCK
SLF83379,"BATTERY CHARGER, INTERNAL, SE125/250 RACK MOUNT",$1112,OUT OF STOCK
SLF83380,"ETHERNET REMOTE, DIGITAL I/O, 12 IN , 8 OUT 24VDC",$2289,OUT OF STOCK
SLF83381,"ANTENNA ANALYZER, HAND HELD, 50 OHM WITH ADAPTER",$1459,OUT OF STOCK
SLF83400,BATTERY CHARGER SE500/1000,$3588,OUT OF STOCK
SLF83500,AUDIO OPTION SE SERIES,$1340,OUT OF STOCK
SLF83501,AUDIO OPTION SE125/250 RM,$1590,OUT OF STOCK
SLF83600,HEATER OPTION SE SERIES/C3 ATU,$1945,OUT OF STOCK
SLF87720,"OPTION, 32 RAD COUNTERPOISE UPGRADE(34ft, 40ft, 50ft, 60ft)",$1989,OUT OF STOCK
SLF87730,"OPTION, 32 RAD COUNTERPOISE UPGRADE(90ft,120ft,145ft, 200ft)",$1989,OUT OF STOCK
SLF87740,"OPTION, 24 RAD COUNTERPOISE (SYM T)",$2345,OUT OF STOCK
SLG10100,"ASSEMBY, EEPROM, CF PROCESSOR SOFTWARE 100W REV K  (REF U19)",$660,OUT OF STOCK
SLJ00005,"ASSEMBLY,  HARDWARE KIT 60 TOWERS 110 MPH",$3550,OUT OF STOCK
SLJ00009,"ASSEMBLY,  HARDWARE KIT 50FT GUY MAST HW",$4209,OUT OF STOCK
SLJ00012,"ASSEMBLY,  HARDWARE KIT 90 FT GUY MAST HIGH POWER",$3790,OUT OF STOCK
SLJ00014,"ASSEMBLY,  HARDWARE  KIT 120FT GUY MAST",$5095,OUT OF STOCK
SLJ00015,"ASSEMBLY,  HARDWARE  KIT 120FT GUY TOWERS",$6141,OUT OF STOCK
SLJ00021,"ASSEMBLY, HARDWARE  KIT 90FT GUY TOWERS",$3845,OUT OF STOCK
SLJ00102,"ASSEMBLY, SA25-200 DUAL VOICE OPTION",$1290,OUT OF STOCK
SLJ00103,"ASSEMBLY,  SA25-100 SINGLE VOICE OPTION",$625,OUT OF STOCK
SLJ00115,"OBSTRUCTION LED KIT, 60FT  SYM T,  W/CND,  220V",$3386,OUT OF STOCK
SLJ00177,"OBSTRUCTION LIGHT KIT, 60FT MAST W/CND 110/220V OPTION",$7322,OUT OF STOCK
SLJ00179,"OBSTRUCTION LIGHT KIT, 90FT MAST W/CND 110/220V OPTION",$10750,OUT OF STOCK
SLJ00185,"OBSTRUCTION LIGHT KIT, 120FT SYM T, W/CND 220V",$5680,OUT OF STOCK
SLJ00194,"OBSTRUCTION LIGHT KIT, 50FT MAST W/CND 110/220V OPTION",$9500,OUT OF STOCK
SLJ00195,"OBSTRUCTION LIGHT KIT, 60FT SYM T, W/CND 220V",$4150,OUT OF STOCK
SLJ00197,"OBSTRUCTION LED KIT, 50FT MAST, W/CND, 110V/220V OPTION",$4042,OUT OF STOCK
SLJ00203,"OBSTRUCTION LED KIT, 40FT MAST W/CND, 110/220V OPTION",$9500,OUT OF STOCK
SLJ00204,"OBSTRUCTION LED KIT, 60FT MAST W/CND, 110/220V OPTION",$9700,OUT OF STOCK
SLJ00205,"OBSTRUCTION LED KIT, 90FT MAST W/CND, 110/220V OPTION",$4402,OUT OF STOCK
SLJ00340,"OBSTRUCTION LIGHT KIT, 40FT MAST W/CND 110/220V OPTION",$7218,OUT OF STOCK
SLJ10000,34FT MAST ANTENNA UPGRADE KIT WITH PERIMETER WIRE,$7031,OUT OF STOCK
SLJ10001,PERIMETER WIRE UPGRADE KIT WITH RDLS,$2590,OUT OF STOCK
SLJ10003,PERIMETER WIRE UPGRADE KIT,$865,OUT OF STOCK
SLJ10103,"OBSTRUCTION LIGHT KIT, 90FT SYM T, W/CND 220V",$3386,OUT OF STOCK
SLJ20050,"ASSEMBLY, KIT INSULATOR PC1000C/3",$838,OUT OF STOCK
SLJ20051,"ASSEMBLY, KIT INSULATOR PC1000C3",$838,OUT OF STOCK
SLJ20100,"ASSEMBLY, KIT INSULATOR 1K ATU",$4202,OUT OF STOCK
SLJ61740,"ASSEMBLY, TEST EQUIPMENT 220VAC",$4419,OUT OF STOCK
SLJ80001,CUSTOMER SERVICE BULLETIN KIT (SLP45000),$80,OUT OF STOCK
SLJ80002,CUSTOMER SERVICE BULLETIN KIT (SLP452000),$80,OUT OF STOCK
SLJ80003,CUSTOMER SERVICE BULLETIN KIT SE125 DUAL (SLP45400),$90,OUT OF STOCK
SLJ80004,CUSTOMER SERVICE BULLETIN KIT SE125 DUAL (SLP45100),$112,OUT OF STOCK
SLJ80005,CUSTOMER SERVICE BULLETIN KIT (SLF20050/C3 CABLES),$93,OUT OF STOCK
SLJ80006,CUSTOMER SERVICE BULLETIN KIT (SE125 SINGLE CABLES),$179,OUT OF STOCK
SLJ80007,CUSTOMER SERVICE BULLETIN KIT (SE500 CABLES),$179,OUT OF STOCK
SLJ80008,CUSTOMER SERVICE BULLETIN KIT (SE125-250 RACK MOUNT CABLES),$146,OUT OF STOCK
SLJ80009,CUSTOMER SERVICE BULLETIN KIT (SE125 DUAL CABLES),$250,OUT OF STOCK
SLJ80010,CUSTOMER SERVICE BULLETIN KIT SE500 SLP05102/SLP46900,$3500,OUT OF STOCK
SLJ80011,CUSTOMER SERVICE BULLETIN KIT SE125 SINGLE (SLP45100),$80,OUT OF STOCK
SLJ80012,CUSTOMER SERVICE BULLETIN KIT SE125 SINGLE (SLP45400),$80,OUT OF STOCK
SLJ80013,CUSTOMER SERVICE BULLETIN KIT SE500  (SLP45100),$112,OUT OF STOCK
SLJ80014,CUSTOMER SERVICE BULLETIN KIT (SLF83367),$94,OUT OF STOCK
SLJ80015,CUSTOMER SERVICE BULLETIN KIT (9C310000),$90,OUT OF STOCK
SLK00030,SAFETY CABLE FOR 30FT 25G SYM-T,$3959,OUT OF STOCK
SLK00040,SAFETY CABLE FOR 40FT 25G MAST,$2370,OUT OF STOCK
SLK00050,SAFETY CABLE FOR 50FT 25G MAST,$2370,OUT OF STOCK
SLK00060,SAFETY CABLE FOR 60FT 25G MAST,$2370,OUT OF STOCK
SLK00061,SAFETY CABLE FOR 60FT 25G SYM-T,$3959,OUT OF STOCK
SLK00090,SAFETY CABLE FOR 90FT 25G MAST,$2742,OUT OF STOCK
SLK00091,SAFETY CABLE FOR 90FT 25G SYM-T,$4702,OUT OF STOCK
SLK00120,SAFETY CABLE FOR 120FT 25G MAST,$3190,OUT OF STOCK
SLK00121,SAFETY CABLE FOR 120FT 25G SYM-T,$5599,OUT OF STOCK
SLK00200,SAFETY CABLE FOR 200FT 25G MAST,$3716,OUT OF STOCK
SLK00201,SAFETY CABLE FOR 200FT 25G SYM-T,$6650,OUT OF STOCK
SLK30002,"KIT, MOUNTING SA SYSTEM W/34' MAST ANTENNA",$100,OUT OF STOCK
SLK30004,"KIT, MOUNTING, SA SYSTEM W/SYMMETRICAL ""T"" ANTENNA",$100,OUT OF STOCK
SLK30005,"KIT, MOUNTING COUPLERS WITH HELIPAD ANTENNA",$575,OUT OF STOCK
SLK33001,"KIT, HARDWARE/SHIP SE 125",$175,OUT OF STOCK
SLK49190,KIT INSTALLATION MAST AND TOWER ANT,$4920,OUT OF STOCK
SLM00001,"ASSEMBLY, TOP HAT GUY, HIGH POWER, 120'",$526,OUT OF STOCK
SLM05037,"ASSEMBLY, MEMBRANE PANEL WITH OVERLAY",$1296,OUT OF STOCK
SLM09070,"ASSEMBLY,  INSULATOR SUPPORT POLE CAP 437",$1940,OUT OF STOCK
SLM09071,"ASSEMBLY,  INSULATOR SUPPORT POLE CAP 437 REPLACEMENT",$1940,OUT OF STOCK
SLM09080,"ASSEMBLY,  INSULATOR SUPPORT POLE FOR SLF10022",$848,OUT OF STOCK
SLM09083,"ASSEMBLY,  HARDWARE KIT, H ANTENNA",$1598,OUT OF STOCK
SLM09084,"ASSEMBLY,  INSULATOR SUPPORT POLE CAP 437",$948,OUT OF STOCK
SLM09740,"ASSEMBLY,  INSULATOR GUY 56FT (17m)",$418,OUT OF STOCK
