Part,PartDesc,Price,Status
S2061700,"ASSEMBLY,  BKT XFMR SSC :02",$6,OUT OF STOCK
S2061701,"ASSEMBLY,  BKT XFMR SSC :03",$9,OUT OF STOCK
S2061702,"ASSEMBLY,  BKT XFMR SSC :03",$7,OUT OF STOCK
S2061703,"ASSEMBLY,  BKT XFMR SSC :04",$12,OUT OF STOCK
S2091000,"SPACER PORTABLE ANTENNA .56""",$36,15 In Stock
S2100000,"BRACKET, DUMMY ANTENNA",$53,OUT OF STOCK
S2100400,"ASSEMBLY,  INSULATOR SHIELD",$48,OUT OF STOCK
S2122100,FAB BRKT HTSK KW .B,$41,OUT OF STOCK
S2128100,FAB HEATSINK KW SCR BRIDGE,$76,OUT OF STOCK
S2131700,"ASSEMBLY,  COIL FORM 1/2X1 PVC :03",$5,OUT OF STOCK
S2136400,FAB BRKT TUN COIL MTG :05,$26,OUT OF STOCK
S2164100,"SPACER, TRANSFORMER DISC",$8,OUT OF STOCK
S2208700,"ASSEMBLY,  BRACKET MOUNTING  B/D SECT",$4,OUT OF STOCK
S2217000,FAB BRKT DIO BATT SSC R2 .A,$11,OUT OF STOCK
S2231100,"ASSEMBLY,  PL CMPNT LTG PROTR PC :07",$34,OUT OF STOCK
S2247100,"ASSEMBLY,  DET SADDLE TWR LEG",$18,OUT OF STOCK
S2251300,"ASSEMBLY,  BRKT CAP H CPLR",$64,OUT OF STOCK
S2252500,"BUSHING, INSULATOR",$50,OUT OF STOCK
S2257400,"ASSEMBLY,  SPKR COV 2.25X2.25",$1,OUT OF STOCK
S2325300,"ASSEMBLY,  COIL FORM KILO ANT CUR SENSE",$18,OUT OF STOCK
S2325900,"ASSEMBLY,  FAB BKT PC-KILO Z SFMR",$10,OUT OF STOCK
S2326000,"ASSEMBLY,  BRACKET PC-KILO Z TRANSFORMER",$10,OUT OF STOCK
S2326100,"ASEMBLY,  FAB BKT PC-KILO Z XFMR",$7,OUT OF STOCK
S2326200,"ASSEMBLY,  FAB BRACKET PC-KILO Z TRANSFORMER",$10,OUT OF STOCK
S2330016,"BRACKET; TERMINAL BLOCK, IP66 ENCLOSURE",$15,OUT OF STOCK
S2363500,"ASSEMBLY,  HTSK DR SCARAB :60",$226,OUT OF STOCK
S2391200,"ASSEMBLY,  FAB FORM COIL QUAD FLTR",$29,OUT OF STOCK
S2391300,"ASSEMBLY,  FAB FORM COIL QUAD FLTR HORIZ",$22,OUT OF STOCK
S2456700,FAB COIL FORM FLTR SPA :01,$5,OUT OF STOCK
S2460100,"DETAIL,  HEATSINK 6 "" SA SERIES",$150,OUT OF STOCK
S2463600,"ASSEMBLY,  PERIMTR WIRE 45G-90 MAST",$131,OUT OF STOCK
S2476600,"HEATSINK 10"" BLACK ANODIZED :40",$221,OUT OF STOCK
S2476700,"HEATSINK 15"" BLACK ANODIZED :40",$271,OUT OF STOCK
S2486500,"FAB SHFT 6.75"" PC1000C",$100,OUT OF STOCK
S2499900," BRACKET, AC POWER SUPPLY",$24,OUT OF STOCK
S2518200,FAB BRKT MNTG COIL AND MTR,$51,OUT OF STOCK
S2532300,FAB CVR COIL TOP DS SER :10,$31,OUT OF STOCK
S2532400,FAB CVR COIL BOT DS SER :10,$31,OUT OF STOCK
S2545800,FAB BRKT STNDOFF DS410 ANT,$40,OUT OF STOCK
S2555000,FAB GDE CARD SA 250W .C :04,$9,OUT OF STOCK
S2561100,"ASSEMBLY,  FAB SHFT CPLG",$30,OUT OF STOCK
S2573100,FAB BRC COIL,$15,OUT OF STOCK
S2581400,FAB BSHG CPLR PCU SER,$18,OUT OF STOCK
S2595000,"CLAMP,  3.5 ID  34FT MAST ANT .B",$42,OUT OF STOCK
S2612000,"BRACKET, MOUNTING ANGLE OFFSHORE PC COUPLER UNIVERSAL",$100,OUT OF STOCK
S2614400,FAB COIL FORM FLTR H SPA,$3,OUT OF STOCK
S2617600,FAB PL DUM ANT,$27,OUT OF STOCK
S2622200,FAB BRKT PNL R,$20,OUT OF STOCK
S2646200,FAB COIL FORM FLTR SB SER,$3,OUT OF STOCK
S2654300,FAB BRKT FRNT XFMR SC SER :20,$152,OUT OF STOCK
S2654400,FAB BRKT XFMR SC SER :10,$108,OUT OF STOCK
S2654500,FAB BRKT BACK XFMR SC SER,$125,OUT OF STOCK
S2663000,FAB COIL FORM FLTR SC SER,$10,OUT OF STOCK
S2678100,"ASSEMBLY, GUY SAFETY 6FT 3/16 EXTRA HEAVY STRENGTH 1X7",$40,OUT OF STOCK
S2678101,"ASSEMBLY, GUY SAFETY 6FT 1/4 EXTRA HEAVY STRENGTH 1X7",$46,OUT OF STOCK
S3030800,"FIBERGLASS PIPE, ""B"" SECTION, MAST ANTENNA",$706,OUT OF STOCK
S3031400,"ASSEMBLY,  COIL FORM",$57,OUT OF STOCK
S3031500,"ASSEMBLY,  SKT B SECT",$158,OUT OF STOCK
